ligname	pdbname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	ecavity_avg	ecavity_se	edisper_avg	edisper_se	eel_avg	eel_se	epb_avg	epb_se	vdwaals_avg	vdwaals_se	egb_avg	egb_se	esurf_avg	esurf_se	pb_tot_avg	pb_tot_se	gb_tot_avg	gb_tot_se
j11	j11	2.250000204639946e-06	1.0450266743215137e-05	-1.2499999974124877e-06	1.043724888474331e-05	-1.2500005794890967e-07	8.466994877612996e-06	1.8749999828315822e-06	9.707879830490216e-06	1.000000015238811e-06	8.074527746832113e-06	-2.9483038749999997	0.02190634129578266	0.0	0.0	-18.665086250000265	0.8820431459281871	30.138524749999927	0.8504171873799701	-26.405741875000018	0.5257882915833846	25.874738499999992	0.8317426823088964	-4.547723760000003	0.05345081915970544	-17.880603500000095	0.7142838019880621	-23.74380963500039	0.6769080587228329
j12	j12	2.7499997827362675e-06	6.52050124115567e-06	1.7499999882275574e-06	9.1853812381399e-06	-1.2499999044734977e-07	7.931324760793921e-06	-1.2499998629067476e-07	1.0353456100521137e-05	7.500000350546543e-07	8.631191968084064e-06	-2.883865249999996	0.027182462818694023	0.0	0.0	-16.42480762500079	0.942966253206413	26.500918000000244	0.9389230863860046	-24.05976887499996	0.5050568828971553	22.558617875000028	0.8315502318051388	-4.155955395300002	0.06891530585356996	-16.86751874999992	0.7703386761058898	-22.081909020299946	0.6065829032412888
g1	g1	1.7500001217740645e-06	5.986170011160828e-06	-2.624999973903641e-06	7.159483270998139e-06	1.8749999941292117e-06	9.49371412719262e-06	-2.625000021367896e-06	9.869448266887924e-06	-7.49999895788278e-07	7.56877965377167e-06	-4.663069999999998	0.04136632316718677	0.0	0.0	-17.373211125000843	0.900857874412297	33.230962875000145	1.0576427453821002	-38.04244499999995	1.0686975827523162	31.336652999999984	0.869019762486226	-5.706116190899996	0.11723191371210595	-26.84776562500011	0.8783663910763135	-29.78512169090024	1.3078177349244833
g2	g2	-1.624999274554284e-06	9.802250025221513e-06	-1.0000000103360662e-06	9.134245304570398e-06	9.999999244314495e-07	7.745921724167038e-06	-8.749999769364081e-07	8.375839464770172e-06	-2.4999999730823676e-06	7.341928023423017e-06	-3.7325361249999998	0.03324454972844964	0.0	0.0	-15.934701250000371	1.0060307531920718	28.16508087499999	0.8491795647737698	-31.04339837499999	0.5330666879203744	26.559949124999903	0.6909947961163352	-4.867268516099998	0.03887896267692281	-22.54555987499997	0.6762988447439182	-25.28542401610014	0.7378489754433063
g3	g3	2.3750001719236026e-06	1.0747907559363123e-05	1.6249999525541626e-06	8.572522679103878e-06	2.625000013409817e-06	1.0028232029312315e-05	-9.99999990796141e-07	7.532002201056849e-06	2.5000000685793113e-06	9.304712861092783e-06	-4.45966875	0.0453143036825581	0.0	0.0	-16.224565375000367	0.6038827074627844	31.4230245	0.6987685785672222	-37.05521750000003	1.070650975694403	29.352014999999966	0.6267940458180026	-5.576233622400002	0.10342624924036721	-26.3164189999999	0.9839867279628343	-29.503993372400036	1.314503897565522
g4	g4	-5.000001829102985e-07	9.262664378125747e-06	-5.000000008692496e-06	8.154030021597498e-06	-2.9999999847518667e-06	9.62603855950222e-06	-1.2499995527548435e-07	9.495050451154967e-06	1.2499993374603945e-07	8.829615222478715e-06	-4.401435499999998	0.033196535452356506	0.0	0.0	-18.58305675000033	1.2075120685970377	34.07590500000002	1.1166012380952268	-36.52146550000002	0.697513290953977	32.71711012500011	0.8061619092820776	-5.5219421808	0.07073487822250757	-25.43006124999998	0.9096568326219355	-27.909362805800107	0.6513661127288681
g5	g5	9.999998815146683e-07	9.463836015589586e-06	-1.7500000200243448e-06	8.063434601442208e-06	-2.624999982714371e-06	1.0287096451505923e-05	2.3749999872535455e-06	9.449700361169103e-06	-1.7500001111159235e-06	9.232992460243152e-06	-4.619120500000003	0.05649074632737052	0.0	0.0	-18.187541750000147	1.0648960341764786	34.786382999999994	1.2329480651223799	-38.66462362499993	0.9337607095612603	33.07210662500011	1.0376464055537689	-5.687503546500002	0.09542260080704341	-26.6849056250001	0.7388673057119588	-29.46756504650027	1.1895475999258107
g6	g6	1.6825651982799172e-13	8.979200675508285e-06	6.250000197383088e-07	7.648056471983958e-06	3.749999218882749e-07	7.667716199064526e-06	-1.8750000046452441e-06	7.495761513073561e-06	-1.000000073929641e-06	9.047917411280019e-06	-4.916916375	0.058759444125573206	0.0	0.0	-14.856782124999876	0.7690607998544081	34.95399899999993	1.0360558420596755	-38.16205737499999	0.9823200515059488	32.1374750000001	0.7865289312798374	-5.866481388600002	0.11216416249105339	-22.98175874999971	0.8731603481086195	-26.747847763599957	1.1002060124947046
g7	g7	-1.8750001618172973e-06	7.081596884172051e-06	8.750000255020041e-07	7.785223095425601e-06	-1.749999978812866e-06	7.401992959986576e-06	4.624999970204158e-06	7.912627313654557e-06	6.250000433283275e-07	7.0177559747814715e-06	-4.421623125000003	0.050304195485238345	0.0	0.0	-26.613568749999946	2.1143076800517666	42.94769274999995	2.4745192329016135	-39.63763850000006	2.075334236170474	41.06633475000004	2.5655553394487067	-5.631524245799997	0.17992967598634108	-27.725135124999884	1.8000419212641783	-30.81639424579986	1.735361056484345
g8	g8	6.24999975116225e-07	7.700619396837608e-06	2.4999998004204827e-07	7.594160298207768e-06	3.249999981420615e-06	8.947075297404866e-06	1.3750000064050026e-06	8.970314105008253e-06	1.5000000151133008e-06	8.358582234045555e-06	-4.7964136250000005	0.04016787127579541	0.0	0.0	-16.40364912500106	0.8147569265471811	34.161964749999996	0.9835354507628757	-38.08284300000002	0.6961567919051321	31.528898374999986	0.8047385822926781	-5.839313330699997	0.0655168162987302	-25.120933999999714	0.5066169200570529	-28.796900080699928	0.7200798102423389
