ligname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	edisper_avg	edisper_se	eel_avg	eel_se	vdwaals_avg	vdwaals_se	egb_avg	egb_se	esurf_avg	esurf_se	gb_tot_avg	gb_tot_se	paper-id	expt-dg	expt-err	q	dataset
j11	-7.500005403926479e-07	9.706906566136991e-06	5.115907697472721e-15	1.0144967756219777e-05	-6.250000397756139e-07	8.397391194702045e-06	-1.249999906605126e-07	7.266494089348175e-06	1.3749999018131122e-06	9.915398479674934e-06	0.0	0.0	-20.993860500000526	1.0917671346790387	-29.95352750000001	0.6505173945155062	31.613564375000024	1.304939443974176	-5.3113474331999955	0.028320194615596893	-24.645171183200112	1.3687305279279884	11a	-5.6	0.1	0	Janssen
j12	-4.124999901478077e-06	1.0640037608467267e-05	7.499999970050908e-07	1.154671921506785e-05	2.5000003986974664e-07	8.471546000322136e-06	-1.250000002386287e-06	8.731607978190748e-06	1.625000076117544e-06	6.500841224373989e-06	0.0	0.0	-17.354472624999126	1.0914512906265588	-28.130150250000053	0.536415974265567	29.57361900000004	1.1649693131864614	-5.321606239799999	0.04958030777718761	-21.232612864799908	0.6481258943494802	11b	-5.6	0.1	0	Janssen
g1	5.00000039664883e-07	9.088655956849077e-06	-6.250000036800429e-07	8.329772480931873e-06	-3.3749999958843087e-06	9.265432813448367e-06	-5.000000149379957e-07	7.739904036758803e-06	-4.999999835320068e-07	8.779195531154963e-06	0.0	0.0	-26.442318749999966	1.2693470728639324	-46.67925387499999	0.9457694021365822	58.35107950000019	2.032515528332373	-8.272206810899995	0.04637282835810246	-23.04270443590024	2.2724306628201063	THQ1	-9.607999999999999	0.1	0	THQ
g2	7.500003493987606e-07	9.290140716565867e-06	-3.749999936530912e-07	7.616856742018652e-06	-5.82645043323282e-14	8.618502660529527e-06	-1.1250000133955495e-06	7.581625736646282e-06	1.8750000810996429e-06	9.176527809352761e-06	0.0	0.0	-21.43543049999982	1.1750808902776917	-37.331862875000034	0.4827820033040518	43.75014700000013	0.9001177298448766	-6.5152228248	0.04445502262005952	-21.532368074799987	0.955226756512247	THQ2	-7.6864	0.1	0	THQ
g3	1.99999985852628e-06	7.501433766173227e-06	9.99999974169441e-07	8.699500823393285e-06	-2.499999041560841e-07	7.757487363158003e-06	-1.500000009428959e-06	9.559581601296957e-06	2.500000391592039e-07	9.187321188070554e-06	0.0	0.0	-24.655076375000423	1.0869014267028174	-44.41952825000004	0.9572279599649014	55.096399875	1.525435101450434	-7.845090498899998	0.04261254639501216	-21.823293748900305	1.6630057534194145	THQ3	-9.33348	0.1	0	THQ
g4	3.7499999734791343e-07	7.683011860882985e-06	-1.0000000034438015e-06	9.345263835006767e-06	-1.500000067835572e-06	8.144673066799383e-06	1.6249999985973318e-06	1.0269618695659537e-05	-8.750000144175373e-07	1.0966560426564296e-05	0.0	0.0	-29.3854132499997	1.1650704518772028	-44.02027300000003	0.5582043825570411	59.23284675000008	1.3507285491025882	-7.8171535269	0.04131659707565821	-21.989994401900226	1.2331116916566474	THQ4	-9.33348	0.127	0	THQ
g5	8.749999165047483e-07	8.10940680929137e-06	-3.1249999977944754e-06	8.254864286107268e-06	-1.24999999911779e-06	6.312086654166925e-06	-4.999999929111711e-07	9.699020306432356e-06	1.1250000282814198e-06	7.793926827425703e-06	0.0	0.0	-30.39530950000052	0.8362556961011761	-46.41013337499995	0.5876414428218801	60.89190462500007	0.8775205013206554	-8.112684694500006	0.034293985717735016	-24.026225819499718	0.9113255443813548	THQ5	-10.8433	0.1	0	THQ
g6	-4.1250001277148836e-06	7.728859077070616e-06	-1.2499999873227807e-06	9.030674347567683e-06	-2.7499999619351457e-06	1.013641937703432e-05	3.0000000386820597e-06	8.447879536491087e-06	-1.8750000027978333e-06	5.5209655530520375e-06	0.0	0.0	-25.289313000000558	0.9251767650213736	-46.81199512500002	1.056875645399425	61.79337124999991	0.8209481058569912	-8.421115703399996	0.06698921341985607	-18.729059578400136	1.3405232921350083	THQ6	-7.6864	0.1	0	THQ
g7	9.999995927501006e-07	8.517260048020723e-06	-4.7890580390230754e-14	7.749857750372174e-06	-1.249999425567694e-07	1.0625245545766826e-05	3.999999994093173e-06	9.163057639516897e-06	-2.875000077580125e-06	7.998907538776346e-06	0.0	0.0	-32.11546712499937	1.838950776161756	-47.11165037499998	1.4007876807933846	60.08666974999995	1.4028274799483105	-7.830765022499996	0.06742122504259124	-26.971210772499795	2.142641939986373	THQ7	-7.96091	0.1	0	THQ
g8	1.000000384010491e-06	9.143522971244434e-06	-2.1249999845451838e-06	6.302047510314063e-06	-2.500000056215868e-07	9.483795417674874e-06	3.1250000198212996e-06	8.479171580497e-06	-4.999999308097358e-07	8.685764299364566e-06	0.0	0.0	-25.496064500000266	1.402020008031511	-47.22592775000001	1.2241324551724035	59.324740750000096	1.7791486652498556	-8.541212137200002	0.0637748494056887	-21.938462387199927	2.174777397838346	THQ8	-8.921710000000001	0.1	0	THQ
g9	-7.499994535464794e-07	8.805248331856822e-06	6.24999999558895e-07	8.007245530011212e-06	2.750000014799525e-06	8.261895428334339e-06	1.7499999892578445e-06	8.105589368997319e-06	-1.2499988969238984e-07	9.219333844669575e-06	0.0	0.0	-22.852441374999966	1.760124670892029	-48.62103750000002	0.9272660784058324	56.68698562500001	1.6971357194483443	-8.7796181475	0.03850458051076683	-23.56610714750016	1.0499316660993143	THQ9	-5.90206	0.1	0	THQ
g10	-1.3750000039181031e-06	8.8819294388878e-06	1.124999976127583e-06	9.139702453184767e-06	-3.3749999832366482e-06	7.0742367400323e-06	-3.749999962892048e-06	7.4538965493334735e-06	7.500000570814791e-07	7.364672993721892e-06	0.0	0.0	-50.586561000000884	2.6820850883093703	-48.81514375000002	0.8087211386842671	78.3121316249999	2.7845675943746566	-9.1778576472	0.0702410677779527	-30.267437397200194	1.0637191752450337	THQ10	-10.4315	0.14	1	THQ
g11	7.49999883282726e-07	6.8000767009653746e-06	1.4999999785914043e-06	6.917525267888914e-06	2.5000000432839903e-06	7.763352114467153e-06	1.6250000120265898e-06	8.007579299564273e-06	-7.500000165805431e-07	8.394950701826365e-06	0.0	0.0	-50.62631562499977	3.6925896806127696	-51.17189900000002	0.806479117665136	79.24936700000006	3.830176598149824	-9.4625990352	0.04591378293665176	-32.01144103520015	1.2436926095272824	THQ11	-9.33348	0.41	1	THQ
g12	-2.750000140849806e-06	9.418862826044824e-06	-3.624999993405709e-06	9.221657841063163e-06	-6.250001143826011e-07	9.722390433890408e-06	3.125000013781687e-06	8.569178216320023e-06	-1.2500000443083082e-06	1.1570479806275768e-05	0.0	0.0	-50.80761050000071	4.955408871620344	-52.14545862500004	1.0877883003157758	79.39645912500008	4.526160941723515	-9.762492594600001	0.0833587744704211	-33.319107719599906	1.6137871613452814	THQ12	-7.5491399999999995	0.1	1	THQ
g13	-2.0463630789890888e-13	9.094675839658251e-06	-1.999999965960342e-06	7.852307588303447e-06	-2.5000005379638426e-07	7.849094176981267e-06	-6.249999923824135e-07	9.352177204519976e-06	2.5000013195608514e-07	8.221425622786118e-06	0.0	0.0	-124.81197937499935	6.652342425921224	-42.111107125000025	1.4142812474601203	157.16167262499997	4.853011553770932	-9.105159610800001	0.0825475864778228	-18.866576110799837	2.998357599449597	THQ13	-7.41188	0.1	-1	THQ
g14	-2.7499997338509273e-06	8.317066396554042e-06	6.249999779583959e-07	7.746096875778036e-06	2.486899575160351e-14	7.641797187253178e-06	-1.2500000131865364e-06	9.918036453394216e-06	-6.250000237173481e-07	7.768581150733635e-06	0.0	0.0	-130.062887625	6.916286327554791	-40.711926874999946	1.706414765535296	159.80158349999988	5.872441214950794	-8.792969915699995	0.0760914929153147	-19.766204915699745	4.516272141871642	THQ14	-9.19623	0.27	-1	THQ
g15	-1.124999855619535e-06	8.240216774368718e-06	2.2499999751346423e-06	9.821802878763491e-06	-1.8749999665601536e-06	8.1588015176391e-06	1.5000000108500444e-06	1.0168584743473062e-05	2.749999990925289e-06	1.0811321966052628e-05	0.0	0.0	-126.55153174999997	5.985465405092175	-41.03898450000001	2.0685433974376144	152.60200887500002	4.137152111837096	-8.594964043200001	0.06534509245263716	-23.583467918199805	5.856352061281101	THQ15	-10.7106	0.14	-1	THQ
g16	1.1249996077822288e-06	1.0302377664199736e-05	-8.750000083068699e-07	8.675393927252811e-06	-8.749999700796707e-07	8.586938288940356e-06	-7.499999939852843e-07	1.146959797801174e-05	8.749999605583981e-07	1.000964477425014e-05	0.0	0.0	-46.458651125000216	4.26503238635898	-47.925292375	1.1151120151857556	76.84511025000002	4.262083074473238	-8.9732763162	0.07570186557692618	-26.51211006620029	2.1394427813917725	THQ16	-7.41188	0.38	1	THQ
